+0ns POS: x=150, y=93.986, z=0; VEL:0, y=50.4038, z=0
+0ns POS: x=195.418, y=150, z=0; VEL:50.1186, y=0, z=0
+1.04727e+08ns POS: x=200.667, y=150, z=0; VEL:0, y=0, z=0
+1.04727e+08ns POS: x=200.667, y=150, z=0; VEL:50.1239, y=0, z=0
+2.0448e+08ns POS: x=205.667, y=150, z=0; VEL:0, y=0, z=0
+2.0448e+08ns POS: x=205.667, y=150, z=0; VEL:50.0742, y=0, z=0
+2.91007e+08ns POS: x=210, y=150, z=0; VEL:0, y=0, z=0
+2.91007e+08ns POS: x=210, y=150, z=0; VEL:0, y=50.0742, z=0
+3.04332e+08ns POS: x=210, y=150.667, z=0; VEL:0, y=0, z=0
+3.04332e+08ns POS: x=210, y=150.667, z=0; VEL:0, y=50, z=0
+3.17715e+08ns POS: x=150, y=110, z=0; VEL:0, y=0, z=0
+3.17715e+08ns POS: x=150, y=110, z=0; VEL:50.4038, y=0, z=0
+5.09879e+08ns POS: x=159.686, y=110, z=0; VEL:0, y=0, z=0
+5.09879e+08ns POS: x=159.686, y=110, z=0; VEL:50.1291, y=0, z=0
+6.04332e+08ns POS: x=210, y=165.667, z=0; VEL:0, y=0, z=0
+6.04332e+08ns POS: x=210, y=165.667, z=0; VEL:0, y=50, z=0
+6.09621e+08ns POS: x=164.686, y=110, z=0; VEL:0, y=0, z=0
+6.09621e+08ns POS: x=164.686, y=110, z=0; VEL:50.3922, y=0, z=0
+6.90987e+08ns POS: x=210, y=170, z=0; VEL:0, y=0, z=0
+6.90987e+08ns POS: x=210, y=170, z=0; VEL:-50, y=0, z=0
+7.15078e+08ns POS: x=170, y=110, z=0; VEL:0, y=0, z=0
+7.15078e+08ns POS: x=170, y=110, z=0; VEL:0, y=-50.3922, z=0
+1.09099e+09ns POS: x=190, y=170, z=0; VEL:0, y=0, z=0
+1.09099e+09ns POS: x=190, y=170, z=0; VEL:0, y=-50, z=0
+1.10433e+09ns POS: x=190, y=169.333, z=0; VEL:0, y=0, z=0
+1.10433e+09ns POS: x=190, y=169.333, z=0; VEL:0, y=-50.2111, z=0
+1.10573e+09ns POS: x=170, y=90.3142, z=0; VEL:0, y=0, z=0
+1.10573e+09ns POS: x=170, y=90.3142, z=0; VEL:0, y=-50, z=0
+1.11201e+09ns POS: x=170, y=90, z=0; VEL:0, y=0, z=0
+1.11201e+09ns POS: x=170, y=90, z=0; VEL:50, y=0, z=0
+1.40573e+09ns POS: x=184.686, y=90, z=0; VEL:0, y=0, z=0
+1.40573e+09ns POS: x=184.686, y=90, z=0; VEL:50, y=0, z=0
+1.48936e+09ns POS: x=190, y=150, z=0; VEL:0, y=0, z=0
+1.48936e+09ns POS: x=190, y=150, z=0; VEL:50.2111, y=0, z=0
+1.70573e+09ns POS: x=199.686, y=90, z=0; VEL:0, y=0, z=0
+1.70573e+09ns POS: x=199.686, y=90, z=0; VEL:50, y=0, z=0
+1.88768e+09ns POS: x=210, y=150, z=0; VEL:0, y=0, z=0
+1.88768e+09ns POS: x=210, y=150, z=0; VEL:0, y=50.2111, z=0
+1.91201e+09ns POS: x=210, y=90, z=0; VEL:0, y=0, z=0
+1.91201e+09ns POS: x=210, y=90, z=0; VEL:0, y=-50, z=0
+2.286e+09ns POS: x=210, y=170, z=0; VEL:0, y=0, z=0
+2.286e+09ns POS: x=210, y=170, z=0; VEL:-50.2111, y=0, z=0
+2.90573e+09ns POS: x=210, y=40.3142, z=0; VEL:0, y=0, z=0
+2.90573e+09ns POS: x=210, y=40.3142, z=0; VEL:0, y=-50, z=0
+3.08264e+09ns POS: x=170, y=170, z=0; VEL:0, y=0, z=0
+3.08264e+09ns POS: x=170, y=170, z=0; VEL:0, y=-50.2111, z=0
+3.09592e+09ns POS: x=170, y=169.333, z=0; VEL:0, y=0, z=0
+3.09592e+09ns POS: x=170, y=169.333, z=0; VEL:0, y=-50, z=0
+3.29592e+09ns POS: x=170, y=159.333, z=0; VEL:0, y=0, z=0
+3.29592e+09ns POS: x=170, y=159.333, z=0; VEL:0, y=-50.1946, z=0
+3.30573e+09ns POS: x=210, y=20.3142, z=0; VEL:0, y=0, z=0
+3.30573e+09ns POS: x=210, y=20.3142, z=0; VEL:0, y=-50.1332, z=0
+3.51147e+09ns POS: x=210, y=10, z=0; VEL:0, y=0, z=0
+3.51147e+09ns POS: x=210, y=10, z=0; VEL:-50.1332, y=0, z=0
+3.59476e+09ns POS: x=170, y=144.333, z=0; VEL:0, y=0, z=0
+3.59476e+09ns POS: x=170, y=144.333, z=0; VEL:0, y=-50.2539, z=0
+3.79375e+09ns POS: x=170, y=134.333, z=0; VEL:0, y=0, z=0
+3.79375e+09ns POS: x=170, y=134.333, z=0; VEL:0, y=-50.1079, z=0
+3.88022e+09ns POS: x=170, y=130, z=0; VEL:0, y=0, z=0
+3.88022e+09ns POS: x=170, y=130, z=0; VEL:50.1079, y=0, z=0
+3.9104e+09ns POS: x=190, y=10, z=0; VEL:0, y=0, z=0
+3.9104e+09ns POS: x=190, y=10, z=0; VEL:0, y=50.1332, z=0
+4.0931e+09ns POS: x=180.667, y=130, z=0; VEL:0, y=0, z=0
+4.0931e+09ns POS: x=180.667, y=130, z=0; VEL:50.1047, y=0, z=0
+4.20334e+09ns POS: x=190, y=24.6858, z=0; VEL:0, y=0, z=0
+4.20334e+09ns POS: x=190, y=24.6858, z=0; VEL:0, y=50, z=0
+4.27937e+09ns POS: x=190, y=130, z=0; VEL:0, y=0, z=0
+4.27937e+09ns POS: x=190, y=130, z=0; VEL:0, y=-50.1047, z=0
+4.29269e+09ns POS: x=190, y=129.333, z=0; VEL:0, y=0, z=0
+4.29269e+09ns POS: x=190, y=129.333, z=0; VEL:0, y=-50.3262, z=0
+4.30334e+09ns POS: x=190, y=29.6858, z=0; VEL:0, y=0, z=0
+4.30334e+09ns POS: x=190, y=29.6858, z=0; VEL:0, y=50, z=0
+4.49139e+09ns POS: x=190, y=119.333, z=0; VEL:0, y=0, z=0
+4.49139e+09ns POS: x=190, y=119.333, z=0; VEL:0, y=-50, z=0
+4.50334e+09ns POS: x=190, y=39.6858, z=0; VEL:0, y=0, z=0
+4.50334e+09ns POS: x=190, y=39.6858, z=0; VEL:0, y=50, z=0
+4.60334e+09ns POS: x=190, y=44.6858, z=0; VEL:0, y=0, z=0
+4.60334e+09ns POS: x=190, y=44.6858, z=0; VEL:0, y=50, z=0
+4.67805e+09ns POS: x=190, y=110, z=0; VEL:0, y=0, z=0
+4.67805e+09ns POS: x=190, y=110, z=0; VEL:50, y=0, z=0
+4.70962e+09ns POS: x=190, y=50, z=0; VEL:0, y=0, z=0
+4.70962e+09ns POS: x=190, y=50, z=0; VEL:50, y=0, z=0
+5.07805e+09ns POS: x=210, y=110, z=0; VEL:0, y=0, z=0
+5.07805e+09ns POS: x=210, y=110, z=0; VEL:0, y=50, z=0
+5.10962e+09ns POS: x=210, y=50, z=0; VEL:0, y=0, z=0
+5.10962e+09ns POS: x=210, y=50, z=0; VEL:0, y=-50, z=0
+5.50962e+09ns POS: x=210, y=30, z=0; VEL:0, y=0, z=0
+5.50962e+09ns POS: x=210, y=30, z=0; VEL:-50, y=0, z=0
+5.79139e+09ns POS: x=210, y=145.667, z=0; VEL:0, y=0, z=0
+5.79139e+09ns POS: x=210, y=145.667, z=0; VEL:0, y=50.0101, z=0
+5.80334e+09ns POS: x=195.314, y=30, z=0; VEL:0, y=0, z=0
+5.80334e+09ns POS: x=195.314, y=30, z=0; VEL:-50, y=0, z=0
+5.90962e+09ns POS: x=190, y=30, z=0; VEL:0, y=0, z=0
+5.90962e+09ns POS: x=190, y=30, z=0; VEL:0, y=-50, z=0
+5.99135e+09ns POS: x=210, y=155.667, z=0; VEL:0, y=0, z=0
+5.99135e+09ns POS: x=210, y=155.667, z=0; VEL:0, y=50, z=0
+6.19135e+09ns POS: x=210, y=165.667, z=0; VEL:0, y=0, z=0
+6.19135e+09ns POS: x=210, y=165.667, z=0; VEL:0, y=50, z=0
+6.278e+09ns POS: x=210, y=170, z=0; VEL:0, y=0, z=0
+6.278e+09ns POS: x=210, y=170, z=0; VEL:-50, y=0, z=0
+6.30962e+09ns POS: x=190, y=10, z=0; VEL:0, y=0, z=0
+6.30962e+09ns POS: x=190, y=10, z=0; VEL:50, y=0, z=0
+6.39135e+09ns POS: x=204.333, y=170, z=0; VEL:0, y=0, z=0
+6.39135e+09ns POS: x=204.333, y=170, z=0; VEL:-50.2758, y=0, z=0
+6.59025e+09ns POS: x=194.333, y=170, z=0; VEL:0, y=0, z=0
+6.59025e+09ns POS: x=194.333, y=170, z=0; VEL:-50, y=0, z=0
